Line|LOS|a|e|i|o|u|Ac|Ec|Ic|Oc|Uc
"plumb down into the forecastle, aloft there to the royal mast-head."|68|5|7|1|6|1|0|0|0|0|0
"True, they rather order me about some, and make me jump from spar to"|69|5|8|0|5|3|0|0|0|0|0
"spar, like a grasshopper in a May meadow. And at first, this sort of"|69|7|3|4|4|0|1|0|0|0|0
"thing is unpleasant enough. It touches one’s sense of honor,"|61|2|6|2|6|3|0|0|1|0|0
"particularly if you come of an old established family in the land, the"|71|6|5|5|4|2|0|0|0|0|0
"Van Rensselaers, or Randolphs, or Hardicanutes. And more than all, if"|70|7|5|2|4|1|1|0|0|0|0
"just previous to putting your hand into the tar-pot, you have been"|67|3|5|3|6|5|0|0|0|0|0
"lording it as a country schoolmaster, making the tallest boys stand in"|71|6|3|4|5|1|0|0|0|0|0
"awe of you. The transition is a keen one, I assure you, from a"|63|5|6|3|6|3|0|0|1|0|0
"schoolmaster to a sailor, and requires a strong decoction of Seneca and"|72|7|6|3|8|1|0|0|0|0|0
"the Stoics to enable you to grin and bear it. But even this wears off"|70|4|7|4|5|2|0|0|0|0|0
"in time."|9|0|1|2|0|0|0|0|0|0|0
\"\"|1|0|0|0|0|0|0|0|0|0|0
"What of it, if some old hunks of a sea-captain orders me to get a broom"|72|6|5|3|8|1|0|0|0|0|0
"and sweep down the decks? What does that indignity amount to, weighed,"|71|4|7|4|4|1|0|0|0|0|0
"I mean, in the scales of the New Testament? Do you think the archangel"|71|5|9|2|3|1|0|0|1|0|0
"Gabriel thinks anything the less of me, because I promptly and"|63|4|6|3|2|1|0|0|1|0|0
"respectfully obey that old hunks in that particular instance? Who ain’t"|72|6|4|4|3|3|0|0|0|0|0
"a slave? Tell me that. Well, then, however the old sea-captains may"|68|7|9|1|2|0|0|0|0|0|0
"order me about—however they may thump and punch me about, I have the"|69|5|8|0|4|4|0|0|1|0|0
"satisfaction of knowing that it is all right; that everybody else is"|69|5|4|7|4|0|0|0|0|0|0
"one way or other served in much the same way—either in a physical or"|69|5|8|4|4|1|0|0|0|0|0
"metaphysical point of view, that is; and so the universal thump is"|67|5|4|6|3|2|0|0|0|0|0
"passed round, and all hands should rub each other’s shoulder-blades,"|69|6|5|0|4|4|0|0|0|0|0
"and be content."|16|1|2|0|1|0|0|0|0|0|0
\"\"|1|0|0|0|0|0|0|0|0|0|0
"Again, I always go to sea as a sailor, because they make a point of"|68|10|5|3|5|1|1|0|1|0|0
"paying me for my trouble, whereas they never pay passengers a single"|69|5|10|2|2|1|0|0|0|0|0
"penny that I ever heard of. On the contrary, passengers themselves must"|72|4|10|0|2|1|0|0|1|1|0
"pay. And there is all the difference in the world between paying and"|69|4|10|4|1|0|1|0|0|0|0
"being paid. The act of paying is perhaps the most uncomfortable"|64|5|5|4|4|1|0|0|0|0|0
"infliction that the two orchard thieves entailed upon us. But _being"|69|3|6|6|4|3|0|0|0|0|0
"paid_,—what will compare with it? The urbane activity with which a man"|71|7|3|8|1|1|0|0|0|0|0
"receives money is really marvellous, considering that we so earnestly"|70|4|10|4|4|1|0|0|0|0|0
"believe money to be the root of all earthly ills, and that on no"|65|4|7|2|7|0|0|0|0|0|0
"account can a monied man enter heaven. Ah! how cheerfully we consign"|69|5|8|2|4|2|1|0|0|0|0
